Date,Corn,Ethanol,Crude Oil,Live Cattle,ADM,Bunge,Con Agra,Green Plains,Wheat,Soyabean
31/01/10,415.75,1.98,78.49,86.50,31.48,64.25,23.25,15.09,544.75,1043.00
31/12/09,400.75,2.16,78.42,83.15,31.25,62.57,22.37,12.21,563.00,1058.50
30/11/09,362.00,1.94,75.24,85.80,30.15,57.28,21.13,7.38,490.00,968.50
31/10/09,341.25,1.81,68.92,85.70,29.05,62.69,21.68,7.11,452.00,924.75
30/09/09,325.00,1.60,69.65,86.83,28.67,66.49,20.52,7.57,471.00,1100.00
31/08/09,342.00,1.69,71.98,84.48,30.66,70.68,19.87,7.95,531.75,1140.50
31/07/09,346.00,1.66,69.90,85.30,26.98,60.75,19.16,6.51,517.00,1228.00
30/06/09,434.25,1.75,65.77,81.53,27.87,63.68,18.77,5.48,636.75,1186.00
31/05/09,395.00,1.61,50.70,82.00,24.66,47.99,17.72,2.41,524.75,1068.25
30/04/09,401.50,1.58,48.37,83.73,27.35,56.02,16.70,3.25,527.75,949.00
31/03/09,350.00,1.50,45.56,85.45,26.31,46.41,14.95,1.35,508.00,869.50
28/02/09,378.00,1.55,46.06,82.50,26.70,42.42,17.05,2.34,568.00,972.50
31/01/09,404.00,1.62,43.85,86.08,28.93,51.23,16.54,2.05,606.25,965.00
31/12/08,350.00,1.60,53.00,86.45,26.28,41.01,14.69,3.05,541.75,879.25
30/11/08,398.00,1.79,64.30,93.20,21.00,39.05,17.36,3.60,538.75,922.75
31/10/08,494.00,2.10,99.45,99.13,21.75,64.00,19.28,5.24,683.25,1054.75
30/09/08,560.25,2.24,115.50,104.05,25.52,87.96,21.43,6.50,770.00,1306.00
31/08/08,589.00,2.40,123.42,98.55,28.80,100.25,21.78,6.04,784.50,1395.00
31/07/08,722.00,2.82,140.44,103.65,33.30,105.69,19.99,5.97,843.00,1604.75
30/06/08,597.00,2.41,127.22,96.08,39.72,120.20,23.54,8.86,759.50,1357.00
31/05/08,602.00,2.52,112.74,93.30,44.08,113.99,23.85,9.37,792.25,1305.00
30/04/08,570.50,2.42,100.50,87.50,41.06,88.71,23.98,7.38,929.00,1167.00
31/03/08,546.00,2.38,100.12,94.10,45.00,104.49,22.15,9.08,1078.00,1519.50
29/02/08,503.00,2.15,91.50,91.00,44.24,118.27,21.49,11.83,934.00,1275.25
31/01/08,456.25,2.42,94.47,96.10,46.38,117.56,23.74,12.50,892.50,1206.25
31/12/07,383.75,1.94,88.74,93.85,36.60,112.50,24.82,10.00,865.75,1083.25
30/11/07,375.50,1.80,90.94,95.00,35.50,111.31,23.71,9.06,811.00,1009.50
31/10/07,373.00,1.54,79.25,96.85,33.08,108.00,26.25,11.27,953.25,991.50
30/09/07,327.50,1.66,72.69,97.00,33.87,91.91,25.80,17.56,784.00,875.25
31/08/07,327.00,1.98,76.95,94.88,33.94,91.35,25.60,19.10,630.25,834.50
31/07/07,330.00,1.98,71.22,90.38,33.84,84.50,27.05,17.61,583.25,854.25
30/06/07,390.00,2.17,68.15,91.35,35.05,78.24,25.59,20.00,517.50,807.50
31/05/07,364.75,2.21,67.53,94.03,36.98,75.48,25.06,21.50,480.50,728.50
30/04/07,357.00,2.19,67.91,97.80,36.67,82.30,24.83,21.17,433.75,756.50
31/03/07,425.75,2.28,61.75,96.85,33.73,78.00,25.00,20.93,474.25,773.00
28/02/07,404.25,2.00,57.16,90.25,34.31,77.00,25.71,19.80,467.50,719.50
31/01/07,389.25,2.49,60.88,93.00,32.28,72.51,27.10,24.81,498.00,681.50
31/12/06,376.75,2.32,63.80,85.70,35.23,70.65,25.75,27.26,507.00,686.00
30/11/06,320.75,2.03,58.85,87.95,38.37,64.12,26.07,27.50,485.75,630.00
31/10/06,263.25,1.80,62.70,91.00,37.88,57.56,24.58,19.00,445.00,547.25
30/09/06,231.50,2.19,70.42,93.50,41.42,56.00,23.93,28.00,401.50,542.00
31/08/06,239.75,2.53,75.15,83.70,44.50,54.58,21.40,31.60,396.75,578.00
31/07/06,239.25,3.22,73.26,85.80,41.70,50.26,22.15,34.85,371.50,602.50
30/06/06,251.25,3.98,70.25,79.75,42.22,56.63,22.60,35.00,394.25,580.25
31/05/06,237.25,2.72,71.98,73.65,36.85,53.18,22.64,41.00,349.00,585.00
30/04/06,235.25,2.62,66.30,79.50,34.75,55.71,21.50,33.75,344.50,570.50
31/03/06,227.25,2.43,61.95,87.35,31.72,56.79,21.14,59.97,367.50,580.00
